Rec #	Sample ID	Mineral	%SiO2	%TiO2	%Al2O3	%Cr2O3	%Fe2O3	%FeO	%MnO	%MgO	%CaO	%Na2O	%K2O	%P2O5	%LOI	Cu(ppm)	Ni(ppm)	Co(ppm)	Zn(ppm)	V(ppm)	Source	Text
145	LS-JBA-220          	BULK	45.20	1.86	21.03	0.27	0.00	8.85	0.11	8.97	12.86	0.41	0.16	0.15	0.00	0.00	250.00	49.00	0.00	40.00	"RV Morris et al, Handbook of Lunar Soils,1983                           "	Apollo 17 Soil #73221                                                   
146	LS-JBA-221          	BULK	44.55	1.73	20.20	0.25	0.00	8.45	0.11	11.11	12.90	0.46	0.16	0.15	0.00	0.00	320.00	37.00	0.00	46.00	"RV Morris, et al, Handbook of Lunar Soils, 1983                         "	Apollo 17 Soil #73241                                                   
147	LS-JBA-222          	BULK	45.31	1.76	20.23	0.27	0.00	8.82	0.11	9.95	12.91	0.41	0.16	0.14	0.00	0.00	380.00	46.00	0.00	42.00	"RV Morris et al, Handbook of Lunar Soils, 1983                          "	Apollo 17 Soil #73281                                                   
148	LS-JBA-224          	BULK	38.57	8.81	6.32	0.75	0.00	22.04	0.30	14.44	7.68	0.36	0.09	0.04	0.00	0.00	83.00	0.00	0.00	0.00	"RV Morris et al, Handbook of Lunar Soils, 1983                          "	Apollo 17 Soil #74220                                                   
149	LS-JBA-225          	BULK	40.78	8.61	12.54	0.41	0.00	15.84	0.24	9.15	11.36	0.38	0.12	0.09	0.00	0.00	80.00	0.00	0.00	0.00	"RV Morris, et al, Handbook of Lunar Soils, 1983                         "	Apollo 17 Soil #74241                                                   
150	LS-JBA-226          	BULK	38.43	12.70	8.72	0.65	0.00	18.14	0.26	10.36	10.32	0.35	0.07	0.06	0.00	3.00	3.00	23.50	2.00	79.00	"Lofgren & Lofgren, Catalog of Lunar Mare..., NASA 1981                  "	Apollo 17 Mare Basalt #74275                                            
151	LS-JBA-227          	BULK	42.31	8.95	10.30	0.21	0.00	18.57	0.26	6.28	12.15	0.53	0.06	0.08	0.00	2.00	2.00	16.60	2.00	19.00	"Lofgren & Lofgren, Catalog of Lunar Mare Basalts >40g, NASA 1981        "	Apollo 17 Mare Basalt #75035                                            
152	LS-JBA-228          	BULK	39.32	10.31	10.42	0.48	0.00	18.19	0.25	9.53	10.72	0.33	0.08	0.06	0.00	0.00	115.00	0.00	0.00	0.00	"Morris et al, Handbook of Lunar Soils, 1983.                            "	Apollo 17 Soil #75061                                                   
153	"LS-JBA-229,230      "	BULK	40.27	9.41	11.31	0.46	0.00	17.20	0.25	9.59	10.97	0.33	0.08	0.07	0.00	0.00	100.00	27.00	0.00	100.00	"Morris et al, Handbook of Lunar Soils, 1983                             "	"Apollo 17 Soil #75080,75081                                             "
154	LS-JBA-239          	BULK	20.20	1.80	9.00	0.00	0.00	9.30	0.12	6.80	7.60	0.29	0.00	0.00	0.00	0.00	0.00	38.00	0.00	0.00	"Morris, et al, Handbook of Lunar Soils, 1983                            "	"Apollo 17 #78481 (%represents pure element, not oxide;O=41.9%)          "
155	LS-JBA-240          	BULK	42.67	5.47	15.73	0.37	0.00	13.15	0.18	9.91	11.77	0.35	0.09	0.05	0.00	0.00	194.00	0.00	0.00	0.00	"Morris, et al, Handbook of Lunar Soils, 1983                            "	Apollo 17 Soil #78501                                                   
156	LS-JBA-233          	BULK	43.20	3.31	17.85	0.00	0.00	10.92	0.16	11.05	11.97	0.43	0.12	0.09	0.00	0.00	0.00	37.00	0.00	0.00	"Morris et al, Handbook of Lunar Soils, 1983                             "	Apollo 17 Soil #76240                                                   
157	LS-JBA-234          	BULK	43.64	3.38	17.96	0.28	0.00	10.93	0.16	10.75	12.11	0.43	0.12	0.11	0.00	0.00	0.00	32.00	0.00	0.00	"Morris, et al, Handbook of Lunar Soils, 1983                            "	Apollo 17 Soil #76261                                                   
158	LS-JBA-235          	BULK	44.09	0.41	26.59	0.13	0.00	6.19	0.08	0.00	15.43	0.30	0.06	0.03	0.00	0.00	443.00	0.00	2.50	0.00	"McGee, et al, Intro Apollo Collec II, 1979                              "	Apollo 17 Breccia #77017                                                
159	LS-JBA-238          	BULK	45.57	0.27	25.94	0.14	0.00	5.82	0.10	6.33	15.18	0.33	0.08	0.04	0.00	0.00	0.00	0.00	0.00	0.00	"EW Wolfe, et al, Geol Invest T-L Valley, USGS, 1981                     "	Apollo 17 Metagabbro Cataclastite #78155                                
160	LM-LAM-007-PA       	BULK	48.50	0.70	5.68	0.58	0.70	17.90	0.52	16.60	7.10	0.84	0.05	0.65	0.00	0.00	300.00	100.00	0.00	0.00	                                                                        	"Elephant Moraine meteorite (EETA79001), lith. A                         "
161	LM-LAM-007-PB       	BULK	49.00	1.23	9.93	0.14	0.22	16.90	0.47	7.32	11.00	1.68	0.09	1.25	0.00	0.00	100.00	100.00	0.00	0.00	                                                                        	"Elephant Morain Achondrite (EETA79001), lith. B                         "
162	PH-RGB-015          	OLV 	35.35	0.00	0.02	0.00	0.00	41.15	0.54	23.50	0.03	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	                                                                        	JMS' Hortonolite from RGB                                               
163	PO-RGB-044          	OLV 	39.66	0.01	0.00	0.06	0.00	19.60	0.27	40.95	0.07	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	                                                                        	Roger Burns' Oliv 4526                                                  
164	PO-RGB-045          	OLV 	36.80	0.03	0.06	0.00	0.00	34.38	0.47	28.80	0.08	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	                                                                        	Roger Burns' Oliv 5111                                                  
165	PO-RGB-046          	OLV 	31.65	0.07	0.04	0.00	0.00	59.15	0.94	8.39	0.19	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	                                                                        	Roger Burns' Oliv 4167                                                  
