PI	Sub-Code	Wavelength Corrected File	Original  File	Sample ID	Date	Start	Stop	Rel	Source Angle	Detect Angle
JBA	LS	CLS401.DAT	WLS401.DAT	LS-JBA-166-P  	2-Jul-85	351	2515	3	NA	NA
JBA	LS	CLS449.DAT	WLS449.DAT	LS-JBA-167-M  	2-Jul-85	351	2515	3	NA	NA
JBA	LS	CLS507.DAT	WLS507.DAT	LS-JBA-167-N1 	2-Jul-85	351	2515	3	NA	NA
JBA	LS	CLS072.DAT	WLS072.DAT	LS-JBA-167-N2P	2-Jul-85	351	2515	3	NA	NA
JBA	LS	CLS106.DAT	WLS106.DAT	LS-JBA-168-M1 	2-Jul-85	351	2515	3	NA	NA
JBA	LS	CLS415.DAT	WLS415.DAT	LS-JBA-168-M2 	2-Jul-85	351	2515	3	NA	NA
JBA	LS	CLS159.DAT	WLS159.DAT	LS-JBA-168-N1 	2-Jul-85	351	2515	3	NA	NA
JBA	LS	CLS040.DAT	WLS040.DAT	LS-JBA-168-N2 	2-Jul-85	351	2515	3	NA	NA
JBA	LS	CLS287.DAT	WLS287.DAT	LS-JBA-168-P  	2-Jul-85	351	2515	3	NA	NA
JBA	LS	CLS307.DAT	WLS307.DAT	LS-JBA-169-M  	2-Jul-85	351	2515	3	NA	NA
JBA	LS	CLS377.DAT	WLS377.DAT	LS-JBA-169-P  	2-Jul-85	351	2515	3	NA	NA
JBA	LS	CLS354.DAT	WLS354.DAT	LS-JBA-169-X1 	2-Jul-85	351	2515	3	NA	NA
JBA	LS	CLS359.DAT	WLS359.DAT	LS-JBA-169-X2 	2-Jul-85	351	2515	3	NA	NA
JBA	LS	CLS363.DAT	WLS363.DAT	LS-JBA-169-X3 	2-Jul-85	351	2515	3	NA	NA
JBA	LS	CLS012.DAT	WLS012.DAT	LS-JBA-170-C1 	2-Jul-85	351	2515	3	NA	NA
JBA	LS	CLS757.DAT	WLS757.DAT	LS-JBA-170-C1 	16-Dec-90	351	2537	5	NA	NA
JBA	LS	CLS211.DAT	WLS211.DAT	LS-JBA-170-C2 	2-Jul-85	351	2515	3	NA	NA
JBA	LS	CLS758.DAT	WLS758.DAT	LS-JBA-170-C2 	16-Dec-90	351	2537	5	NA	NA
JBA	LS	CLS373.DAT	WLS373.DAT	LS-JBA-171    	2-Jul-85	351	2515	3	NA	NA
JBA	LS	CLS632.DAT	WLS632.DAT	LS-JBA-171    	16-Dec-90	351	2537	5	NA	NA
JBA	LS	CLS439.DAT	WLS439.DAT	LS-JBA-172-M  	2-Jul-85	351	2515	3	NA	NA
JBA	LS	CLS760.DAT	WLS760.DAT	LS-JBA-172-M  	16-Dec-90	351	2537	5	NA	NA
JBA	LS	CLS761.DAT	WLS761.DAT	LS-JBA-172-M  	16-Dec-90	351	2537	5	NA	NA
JBA	LS	CLS263.DAT	WLS263.DAT	LS-JBA-172-N  	2-Jul-85	351	2515	3	NA	NA
JBA	LS	CLS056.DAT	WLS056.DAT	LS-JBA-172-P  	2-Jul-85	351	2515	3	NA	NA
JBA	LS	CLS759.DAT	WLS759.DAT	LS-JBA-172-P  	16-Dec-90	351	2537	5	NA	NA
JBA	LS	CLS308.DAT	WLS308.DAT	LS-JBA-173-N  	2-Jul-85	351	2515	3	NA	NA
JBA	LS	CLS358.DAT	WLS358.DAT	LS-JBA-173-N  	2-Jul-85	351	2515	3	NA	NA
JBA	LS	CLS762.DAT	WLS762.DAT	LS-JBA-173-N  	16-Dec-90	351	2537	5	NA	NA
JBA	LS	CLS378.DAT	WLS378.DAT	LS-JBA-173-P1 	2-Jul-85	351	2515	3	NA	NA
JBA	LS	CLS276.DAT	WLS276.DAT	LS-JBA-173-P2 	2-Jul-85	351	2515	3	NA	NA
JBA	LS	CLS364.DAT	WLS364.DAT	LS-JBA-173-X  	2-Jul-85	351	2515	3	NA	NA
JBA	LS	CLS763.DAT	WLS763.DAT	LS-JBA-173-X  	16-Dec-90	351	2537	5	NA	NA
JBA	LS	CLS013.DAT	WLS013.DAT	LS-JBA-174-M  	2-Jul-85	351	2515	3	NA	NA
JBA	LS	CLS764.DAT	WLS764.DAT	LS-JBA-174-M  	16-Dec-90	351	2537	5	NA	NA
JBA	LS	CLS145.DAT	WLS145.DAT	LS-JBA-174-N1 	2-Jul-85	351	2515	3	NA	NA
JBA	LS	CLS212.DAT	WLS212.DAT	LS-JBA-174-N2 	2-Jul-85	351	2515	3	NA	NA
JBA	LS	CLS390.DAT	WLS390.DAT	LS-JBA-174-P  	2-Jul-85	351	2515	3	NA	NA
JBA	LS	CLS228.DAT	WLS228.DAT	LS-JBA-175-M  	2-Jul-85	351	2515	3	NA	NA
JBA	LS	CLS765.DAT	WLS765.DAT	LS-JBA-175-M  	16-Dec-90	351	2537	5	NA	NA
JBA	LS	CLS020.DAT	WLS020.DAT	LS-JBA-175-N  	2-Jul-85	351	2515	3	NA	NA
JBA	LS	CLS031.DAT	WLS031.DAT	LS-JBA-175-P  	2-Jul-85	351	2515	3	NA	NA
JBA	LS	CLS304.DAT	WLS304.DAT	LS-JBA-176    	2-Jul-85	351	2515	3	NA	NA
